idx,value
1295,-80
1296,-26
1297,24
1298,68
1299,82
1300,57
1301,7
1302,-43
1303,-96
1304,-113
1305,-104
1306,-57
1307,-4
1308,45
1309,80
1310,75
1311,37
1312,-18
1313,-68
1314,-108
1315,-113
1316,-85
1317,-33
1318,20
1319,67
1320,82
1321,59
1322,11
1323,-41
1324,-89
1325,-113
1326,-104
1327,-64
1328,-9
1329,43
1330,80
1331,75
1332,36
1333,-14
1334,-67
1335,-105
1336,-112
1337,-87
1338,-37
1339,18
1340,62
1341,81
1342,58
1343,13
1344,-37
1345,-86
1346,-113
1347,-104
1348,-67
1349,-10
1350,37
1351,75
1352,76
1353,42
1354,-8
1355,-64
1356,-103
1357,-113
1358,-89
1359,-41
1360,11
1361,59
1362,82
1363,67
1364,20
1365,-33
1366,-85
1367,-112
1368,-108
1369,-67
1370,-14
1371,36
1372,75
1373,80
1374,45
1375,-4
1376,-57
1377,-104
1378,-113
1379,-97
1380,-43
1381,6
1382,57
1383,82
1384,69
1385,23
1386,-30
1387,-84
1388,-113
1389,-109
1390,-74
1391,-20
1392,33
1393,75
1394,80
1395,48
1396,-1
1397,-54
1398,-98
1399,-113
1400,-96
1401,-50
1402,3
1403,55
1404,83
1405,67
1406,24
1407,-28
1408,-78
1409,-110
1410,-109
1411,-76
1412,-23
1413,30
1414,71
1415,79
1416,49
1417,1
1418,-50
1419,-96
1420,-113
1421,-98
1422,-54
1423,2
1424,47
1425,80
1426,70
1427,31
1428,-23
1429,-76
1430,-109
1431,-109
1432,-79
1433,-27
1434,24
1435,69
1436,80
1437,53
1438,4
1439,-47
1440,-96
1441,-114
1442,-101
1443,-53
1444,-1
1445,48
1446,80
1447,75
1448,32
1449,-16
1450,-72
1451,-110
1452,-112
1453,-85
1454,-28
1455,19
1456,67
1457,81
1458,60
1459,9
1460,-43
1461,-96
1462,-113
1463,-104
1464,-57
1465,-4
1466,45
1467,80
1468,75
1469,36
1470,-14
1471,-67
1472,-108
1473,-112
1474,-85
1475,-33
1476,20
1477,67
1478,82
1479,59
1480,11
1481,-41
1482,-89
1483,-113
1484,-103
1485,-64
1486,-8
1487,42
1488,76
1489,75
1490,37
1491,-11
1492,-64
1493,-103
1494,-113
1495,-87
1496,-37
1497,13
1498,58
1499,81
1500,62
1501,18
1502,-37
1503,-87
1504,-112
1505,-105
1506,-67
1507,-14
1508,36
1509,75
1510,77
1511,42
1512,-7
1513,-60
1514,-103
1515,-114
1516,-92
1517,-40
1518,10
1519,59
1520,82
1521,67
1522,20
1523,-33
1524,-86
1525,-112
1526,-110
1527,-71
1528,-17
1529,36
1530,75
1531,79
1532,45
1533,-4
1534,-57
1535,-104
1536,-113
1537,-96
1538,-43
1539,7
1540,57
1541,82
1542,68
1543,24
1544,-26
1545,-80
1546,-112
1547,-109
1548,-74
1549,-20
1550,33
1551,74
1552,80
1553,48
1554,-1
1555,-54
1556,-98
1557,-113
1558,-96
1559,-51
1560,4
1561,53
1562,81
1563,68
1564,25
1565,-24
1566,-80
1567,-109
1568,-110
1569,-75
1570,-25
1571,27
1572,71
1573,79
1574,49
1575,0
1576,-50
1577,-97
1578,-113
1579,-98
1580,-54
1581,1
1582,48
1583,80
1584,71
1585,29
1586,-21
1587,-73
1588,-109
1589,-112
1590,-81
1591,-26
1592,23
1593,69
1594,82
1595,57
1596,7
1597,-47
1598,-95
1599,-115
1600,-101
1601,-55
1602,-4
1603,50
1604,79
1605,75
1606,32
1607,-16
1608,-72
1609,-109
1610,-112
1611,-85
1612,-28
1613,19
1614,67
1615,81
1616,60
1617,9
1618,-43
1619,-91
1620,-115
1621,-103
1622,-61
1623,-6
1624,46
1625,79
1626,75
1627,36
1628,-14
1629,-67
1630,-105
1631,-113
1632,-87
1633,-37
1634,18
1635,62
1636,82
1637,58
1638,14
1639,-39
1640,-90
1641,-112
1642,-104
1643,-64
1644,-8
1645,42
1646,76
1647,75
1648,37
1649,-11
1650,-63
1651,-104
1652,-112
1653,-90
1654,-39
1655,14
1656,58
1657,82
1658,62
1659,18
1660,-37
1661,-86
1662,-113
1663,-104
1664,-67
1665,-13
1666,36
1667,76
1668,75
1669,45
1670,-5
1671,-61
1672,-103
1673,-114
1674,-92
1675,-40
1676,10
1677,59
1678,82
1679,67
1680,19
1681,-29
1682,-85
1683,-112
1684,-109
1685,-72
1686,-16
1687,32
1688,75
1689,80
1690,49
1691,-4
1692,-58
1693,-104
1694,-114
1695,-96
1696,-47
1697,6
1698,57
1699,82
1700,69
1701,23
1702,-26
1703,-80
1704,-112
1705,-108
1706,-76
1707,-23
1708,30
1709,70
1710,80
1711,48
1712,-1
1713,-54
1714,-98
1715,-113
1716,-96
1717,-51
1718,4
1719,53
1720,80
1721,68
1722,25
1723,-24
1724,-75
1725,-110
1726,-109
1727,-80
1728,-25
1729,25
1730,68
1731,81
1732,53
1733,4
1734,-51
1735,-96
1736,-113
1737,-98
1738,-54
1739,-1
1740,48
1741,80
1742,74
1743,33
1744,-20
1745,-74
1746,-109
1747,-112
1748,-80
1749,-26
1750,24
1751,68
1752,82
1753,57
1754,7
1755,-43
1756,-96
1757,-113
1758,-104
1759,-57
1760,-4
1761,45
1762,79
1763,75
1764,36
1765,-17
1766,-71
1767,-110
1768,-112
1769,-86
1770,-33
1771,20
1772,67
1773,82
1774,59
1775,10
1776,-40
1777,-92
1778,-114
1779,-103
1780,-64
1781,-8
1782,43
1783,80
1784,75
1785,37
1786,-15
1787,-66
1788,-105
1789,-112
1790,-87
1791,-37
1792,18
1793,62
1794,81
1795,58
1796,13
1797,-37
1798,-86
1799,-113
1800,-104
1801,-67
1802,-10
1803,37
1804,75
1805,76
1806,42
1807,-8
1808,-64
1809,-103
1810,-113
1811,-89
1812,-41
1813,11
1814,59
1815,83
1816,66
1817,16
1818,-33
1819,-86
1820,-112
1821,-108
1822,-67
1823,-14
1824,36
1825,75
1826,80
1827,45
1828,-4
1829,-57
1830,-104
1831,-113
1832,-97
1833,-43
1834,6
1835,57
1836,82
1837,69
1838,23
1839,-30
1840,-84
1841,-113
1842,-109
1843,-74
1844,-20
1845,33
1846,74
1847,80
1848,48
1849,-1
1850,-54
1851,-101
1852,-115
1853,-95
1854,-47
1855,7
1856,57
1857,82
1858,68
1859,24
1860,-27
1861,-78
1862,-109
1863,-109
1864,-76
1865,-23
1866,30
1867,71
1868,79
1869,48
1870,1
1871,-50
1872,-96
1873,-113
1874,-98
1875,-54
1876,2
1877,47
1878,80
1879,70
1880,31
1881,-23
1882,-76
1883,-109
1884,-109
1885,-79
1886,-27
1887,23
1888,68
1889,79
1890,55
1891,7
1892,-47
1893,-95
1894,-115
1895,-101
1896,-54
1897,-1
1898,48
1899,80
1900,74
1901,33
1902,-20
1903,-74
1904,-109
1905,-113
1906,-84
1907,-30
1908,22
1909,70
1910,81
1911,60
1912,9
1913,-43
1914,-95
1915,-114
1916,-103
1917,-61
1918,-6
1919,46
1920,79
1921,75
1922,36
1923,-14
1924,-68
1925,-108
1926,-112
1927,-85
1928,-33
1929,20
1930,67
1931,82
1932,59
1933,11
1934,-41
1935,-89
1936,-113
1937,-104
1938,-64
1939,-9
1940,43
1941,80
1942,75
1943,37
1944,-10
1945,-67
1946,-105
1947,-112
1948,-90
1949,-39
1950,14
1951,58
1952,82
1953,62
1954,18
1955,-37
1956,-87
1957,-113
1958,-104
1959,-67
1960,-10
1961,37
1962,75
1963,77
1964,42
1965,-7
1966,-60
1967,-103
1968,-114
1969,-92
1970,-40
1971,10
1972,59
1973,82
1974,67
1975,20
1976,-33
1977,-85
1978,-113
1979,-108
1980,-68
1981,-18
1982,37
1983,75
1984,80
1985,45
1986,-4
1987,-57
1988,-104
1989,-113
1990,-97
1991,-43
1992,6
1993,57
1994,82
1995,69
1996,23
1997,-31
1998,-80
1999,-113
2000,-109
2001,-74
2002,-20
2003,33
2004,74
2005,80
2006,48
2007,-1
2008,-54
2009,-98
2010,-113
2011,-96
2012,-50
2013,4
2014,55
2015,84
2016,67
2017,26
2018,-25
2019,-80
2020,-109
2021,-110
2022,-75
2023,-25
2024,27
2025,71
2026,79
2027,53
2028,4
2029,-50
2030,-97
2031,-114
2032,-98
2033,-54
2034,1
2035,48
2036,80
2037,70
2038,30
2039,-21
2040,-72
2041,-110
2042,-109
2043,-79
2044,-27
2045,24
2046,68
2047,82
