index,value
1509,584
1510,600
1511,608
1512,622
1513,630
1514,644
1515,652
1516,666
1517,672
1518,686
1519,694
1520,708
1521,716
1522,728
1523,734
1524,748
1525,754
1526,766
1527,772
1528,784
1529,790
1530,802
1531,806
1532,818
1533,824
1534,834
1535,838
1536,-730
1537,-724
1538,-710
1539,-702
1540,-690
1541,-682
1542,-670
1543,-660
1544,-646
1545,-640
1546,-624
1547,-618
1548,-602
1549,-594
1550,-578
1551,-572
1552,948
1553,950
1554,956
1555,960
1556,964
1557,966
1558,972
1559,974
1560,978
1561,980
1562,984
1563,984
1564,986
1565,988
1566,992
1567,994
1568,996
1569,996
1570,996
1571,996
1572,998
1573,998
1574,998
1575,998
1576,998
1577,998
1578,998
1579,996
1580,996
1581,996
1582,994
1583,992
1584,990
1585,988
1586,984
1587,984
1588,982
1589,978
1590,974
1591,972
1592,968
1593,964
1594,960
1595,958
1596,950
1597,948
1598,944
1599,938
1600,932
1601,928
1602,922
1603,916
1604,910
1605,906
1606,900
1607,894
1608,886
1609,880
1610,872
1611,866
1612,856
1613,852
1614,840
1615,838
1616,826
1617,820
1618,810
1619,802
1620,792
1621,786
1622,774
1623,766
1624,754
1625,750
1626,736
1627,728
1628,716
1629,710
1630,696
1631,690
1632,676
1633,668
1634,656
1635,646
1636,632
1637,624
1638,610
1639,604
1640,586
1641,580
1642,562
1643,556
1644,538
1645,530
1646,516
1647,508
1648,490
1649,482
1650,464
1651,456
1652,438
1653,430
1654,412
1655,404
1656,386
1657,376
1658,360
1659,352
1660,332
1661,324
1662,304
1663,296
1664,278
1665,268
1666,250
1667,242
1668,222
1669,212
1670,194
1671,184
1672,166
1673,158
1674,138
1675,128
1676,108
1677,100
1678,80
1679,72
1680,52
1681,42
1682,24
1683,12
1684,-6
1685,-14
1686,-36
1687,-44
1688,-62
1689,-74
1690,-92
1691,-102
1692,-122
1693,-132
1694,-148
1695,-160
1696,-178
1697,-186
1698,-206
1699,-214
1700,-234
1701,-244
1702,-262
1703,-270
1704,-290
1705,-298
1706,-318
1707,-326
1708,-344
1709,-354
1710,-370
1711,-378
1712,988
1713,986
1714,984
1715,984
1716,980
1717,978
1718,972
1719,972
1720,966
1721,962
1722,958
1723,954
1724,948
1725,948
1726,940
1727,936
1728,-596
1729,-606
1730,-620
1731,-626
1732,-642
1733,-648
1734,-664
1735,-670
1736,-684
1737,-692
1738,-706
1739,-712
1740,-726
1741,-730
1742,-744
1743,-752
1744,-764
1745,-768
1746,-782
1747,-788
1748,-800
1749,-804
1750,-816
1751,-822
1752,-832
1753,-840
1754,-850
1755,-854
1756,-864
1757,-868
1758,-876
1759,-882
1760,-890
1761,-896
1762,-904
1763,-908
1764,-914
1765,-918
1766,-926
1767,-930
1768,-938
1769,-940
1770,-948
1771,-950
1772,-956
1773,-960
1774,-964
1775,-966
1776,-972
1777,-974
1778,-978
1779,-980
1780,-984
1781,-986
1782,-988
1783,-990
1784,-992
1785,-994
1786,-996
1787,-998
1788,-998
1789,-998
1790,-1000
1791,-1000
1792,-1000
1793,-1000
1794,-1000
1795,-1000
1796,-1000
1797,-998
1798,-998
1799,-998
1800,-998
1801,-994
1802,-992
1803,-990
1804,-988
1805,-986
1806,-984
1807,-982
1808,-978
1809,-976
1810,-972
1811,-968
1812,-964
1813,-962
1814,-956
1815,-952
1816,-946
1817,-942
1818,-938
1819,-934
1820,-926
1821,-922
1822,-914
1823,-912
1824,-902
1825,-900
1826,-890
1827,-886
1828,-876
1829,-872
1830,-864
1831,-856
1832,-848
1833,-840
1834,-830
1835,-826
1836,-816
1837,-808
1838,-798
1839,-792
1840,-402
1841,-412
1842,-428
1843,-438
1844,-454
1845,-464
1846,-480
1847,-488
1848,-506
1849,-514
1850,-530
1851,-536
1852,-554
1853,-560
1854,-578
1855,-584
1856,-618
1857,-610
1858,-594
1859,-584
1860,-570
1861,-562
1862,-548
1863,-538
1864,-522
1865,-512
1866,-498
1867,-488
1868,-470
1869,-464
1870,-448
1871,-438
1872,-420
1873,-412
1874,-396
1875,-386
1876,-368
1877,-360
1878,-342
1879,-330
1880,-314
1881,-306
1882,-286
1883,-278
1884,-258
1885,-248
1886,-230
1887,-220
1888,-204
1889,-194
1890,-174
1891,-164
1892,-146
1893,-136
1894,-118
1895,-108
1896,-88
1897,-80
1898,-60
1899,-50
1900,-32
1901,-22
1902,0
1903,6
1904,24
1905,36
1906,54
1907,62
1908,84
1909,94
1910,112
1911,122
1912,142
1913,150
1914,170
1915,178
1916,198
1917,206
1918,226
1919,234
1920,254
1921,264
1922,280
1923,290
1924,308
1925,318
1926,336
1927,344
1928,364
1929,372
1930,390
1931,398
1932,416
1933,424
1934,442
1935,450
1936,466
1937,476
1938,492
1939,500
1940,518
1941,524
1942,542
1943,550
1944,566
1945,572
1946,590
1947,596
1948,612
1949,620
1950,634
1951,642
1952,656
1953,664
1954,678
1955,684
1956,698
1957,706
1958,718
1959,726
1960,738
1961,746
1962,758
1963,764
1964,778
1965,782
