# idx,x,y
264,-6058,-9393
265,-6989,-10831
266,-5303,-8217
267,-1632,-2518
268,2638,4114
269,5914,9193
270,6944,10805
271,5365,8341
272,1751,2739
273,-2527,-3911
274,-5869,-9098
275,-7006,-10864
276,-5531,-8573
277,-1980,-3060
278,2305,3595
279,5709,8887
280,6953,10820
281,5581,8687
282,2095,3270
283,-2189,-3385
284,-5669,-8784
285,-7013,-10871
286,-5747,-8907
287,-2319,-3591
288,1961,3061
289,5501,8557
290,6959,10816
291,5783,9007
292,2432,3801
293,-1849,-2849
294,-5448,-8439
295,-7003,-10856
296,-5942,-9213
297,-2657,-4112
298,1616,2528
299,5274,8202
300,6934,10789
301,5983,9304
302,2767,4315
303,-1495,-2303
304,-5211,-8079
305,-6968,-10803
306,-6126,-9497
307,-2985,-4624
308,1264,1981
309,5037,7832
310,6891,10722
311,6155,9579
312,3093,4819
313,-1143,-1765
314,-4959,-7692
315,-6920,-10728
316,-6293,-9760
317,-3306,-5123
318,906,1430
319,4777,7435
320,6835,10632
321,6317,9824
322,3410,5316
323,-788,-1204
324,-4695,-7288
325,-6856,-10629
326,-6442,-9993
327,-3617,-5610
328,550,878
329,4511,7013
330,6755,10511
331,6460,10046
332,3717,5788
333,-433,-652
334,-4430,-6863
335,-6762,-10489
336,-6581,-10196
337,-3923,-6084
338,197,321
339,4227,6580
340,6666,10367
341,6579,10237
342,4018,6252
343,-66,-97
344,-4144,-6421
345,-6666,-10331
346,-6690,-10376
347,-4220,-6537
348,-162,-236
349,3944,6128
350,6552,10195
351,6695,10406
352,4303,6702
353,288,463
354,-3850,-5959
355,-6543,-10143
356,-6793,-10529
357,-4501,-6975
358,-525,-795
359,3638,5665
360,6425,9992
361,6781,10543
362,4582,7125
363,645,1015
364,-3538,-5486
365,-6405,-9932
366,-6873,-10657
367,-4772,-7394
368,-881,-1351
369,3331,5183
370,6273,9762
371,6850,10663
372,4842,7537
373,1002,1571
374,-3222,-4999
375,-6249,-9698
376,-6933,-10754
377,-5026,-7790
378,-1233,-1902
379,3006,4686
380,6117,9509
381,6909,10742
382,5098,7928
383,1355,2125
384,-2904,-4493
385,-6073,-9429
386,-6981,-10825
387,-5265,-8171
388,-1587,-2451
389,2683,4180
390,5934,9229
391,6940,10796
392,5335,8301
393,1708,2659
394,-2569,-3983
395,-5893,-9134
396,-7000,-10862
397,-5502,-8528
398,-1937,-2991
399,2348,3659
400,5739,8928
401,6956,10821
402,5561,8643
403,2050,3204
404,-2235,-3458
405,-5691,-8824
406,-7015,-10878
407,-5717,-8864
408,-2280,-3521
409,2007,3128
410,5531,8599
411,6959,10821
412,5766,8966
413,2389,3733
414,-1886,-2918
415,-5477,-8483
416,-7005,-10862
417,-5920,-9178
418,-2614,-4047
419,1660,2592
420,5306,8246
421,6934,10788
422,5955,9265
423,2725,4246
424,-1542,-2384
425,-5240,-8125
426,-6973,-10821
427,-6101,-9465
428,-2941,-4559
429,1311,2052
430,5060,7882
431,6897,10730
432,6136,9543
433,3052,4754
434,-1184,-1834
435,-4995,-7740
436,-6923,-10743
437,-6276,-9726
438,-3268,-5057
439,955,1495
440,4808,7487
441,6839,10643
442,6295,9797
443,3374,5251
444,-832,-1278
445,-4735,-7338
446,-6859,-10640
447,-6425,-9961
448,-3581,-5552
449,598,945
450,4546,7070
451,6767,10532
452,6441,10020
453,3684,5729
454,-475,-729
455,-4463,-6917
456,-6777,-10513
457,-6558,-10176
458,-3889,-6021
459,240,389
460,4270,6645
461,6674,10384
462,6565,10220
