idx,value
945,-56
946,69
947,164
948,182
949,126
950,-1
951,-139
952,-240
953,-261
954,-199
955,-68
956,77
957,187
958,209
959,146
960,11
961,-147
962,-264
963,-285
964,-218
965,-66
966,89
967,202
968,234
969,158
970,19
971,-154
972,-266
973,-296
974,-227
975,-65
976,93
977,213
978,243
979,167
980,19
981,-152
982,-277
983,-302
984,-238
985,-79
986,96
987,212
988,244
989,166
990,20
991,-153
992,-275
993,-304
994,-235
995,-77
996,96
997,211
998,245
999,157
1000,19
1001,-154
1002,-267
1003,-291
1004,-219
1005,-69
1006,80
1007,193
1008,212
1009,151
1010,14
1011,-139
1012,-246
1013,-273
1014,-203
1015,-77
1016,72
1017,173
1018,197
1019,129
1020,6
1021,-131
1022,-225
1023,-255
1024,-181
1025,-71
1026,64
1027,147
1028,168
1029,109
1030,-2
1031,-115
1032,-198
1033,-210
1034,-161
1035,-59
1036,47
1037,117
1038,123
1039,87
1040,-11
1041,-100
1042,-164
1043,-171
1044,-123
1045,-58
1046,28
1047,76
1048,84
1049,42
1050,-14
1051,-85
1052,-122
1053,-122
1054,-91
1055,-37
1056,9
1057,33
1058,27
1059,6
1060,-36
1061,-55
1062,-65
1063,-58
1064,-42
1065,-23
1066,-7
1067,-29
1068,-37
1069,-49
1070,-46
1071,-41
1072,-13
1073,11
1074,19
1075,6
1076,-36
1077,-67
1078,-106
1079,-108
1080,-72
1081,-11
1082,33
1083,79
1084,68
1085,19
1086,-55
1087,-128
1088,-169
1089,-164
1090,-92
1091,6
1092,102
1093,132
1094,120
1095,41
1096,-77
1097,-184
1098,-230
1099,-203
1100,-108
1101,31
1102,151
1103,206
1104,172
1105,57
1106,-109
1107,-250
1108,-304
1109,-265
1110,-120
1111,63
1112,219
1113,284
1114,227
1115,70
1116,-139
1117,-315
1118,-380
1119,-317
1120,-138
1121,91
1122,280
1123,353
1124,280
1125,79
1126,-170
1127,-377
1128,-448
1129,-361
1130,-143
1131,124
1132,342
1133,427
1134,329
1135,85
1136,-200
1137,-433
1138,-522
1139,-424
1140,-165
1141,152
1142,396
1143,492
1144,379
1145,93
1146,-231
1147,-487
1148,-588
1149,-470
1150,-172
1151,169
1152,455
1153,555
1154,427
1155,121
1156,-250
1157,-546
1158,-650
1159,-516
1160,-195
1161,202
1162,503
1163,614
1164,476
1165,133
1166,-276
1167,-595
1168,-711
1169,-560
1170,-203
1171,211
1172,560
1173,667
1174,514
1175,146
1176,-286
1177,-636
1178,-756
1179,-598
1180,-224
1181,239
1182,601
1183,725
1184,558
1185,156
1186,-306
1187,-681
1188,-805
1189,-631
1190,-233
1191,255
1192,627
1193,759
1194,574
1195,165
1196,-327
1197,-710
1198,-840
1199,-667
1200,-236
1201,262
1202,664
1203,797
1204,614
1205,186
1206,-335
1207,-739
1208,-876
1209,-691
1210,-244
1211,277
1212,689
1213,823
1214,631
1215,186
1216,-339
1217,-757
1218,-897
1219,-693
1220,-250
1221,284
1222,701
1223,832
1224,640
1225,196
1226,-351
1227,-773
1228,-907
1229,-711
1230,-252
1231,283
1232,710
1233,841
1234,653
1235,203
1236,-348
1237,-772
1238,-913
1239,-721
1240,-265
1241,283
1242,709
1243,847
1244,665
1245,207
1246,-335
