#idx,value
1022,-19
1023,-30
1024,-10
1025,28
1026,47
1027,34
1028,-2
1029,-28
1030,-24
1031,9
1032,41
1033,45
1034,17
1035,-19
1036,-31
1037,-9
1038,27
1039,47
1040,35
1041,-2
1042,-29
1043,-24
1044,10
1045,41
1046,45
1047,16
1048,-19
1049,-31
1050,-9
1051,27
1052,48
1053,33
1054,-2
1055,-28
1056,-23
1057,9
1058,41
1059,44
1060,16
1061,-19
1062,-30
1063,-9
1064,27
1065,46
1066,33
1067,-2
1068,-29
1069,-23
1070,10
1071,42
1072,44
1073,15
1074,-19
1075,-29
1076,-8
1077,28
1078,47
1079,33
1080,-2
1081,-29
1082,-24
1083,10
1084,41
1085,44
1086,16
1087,-19
1088,-31
1089,-8
1090,28
1091,47
1092,33
1093,-3
1094,-29
1095,-22
1096,10
1097,42
1098,44
1099,16
1100,-19
1101,-31
1102,-8
1103,28
1104,47
1105,32
1106,-3
1107,-30
1108,-23
1109,10
1110,42
1111,45
1112,16
1113,-19
1114,-31
1115,-8
1116,28
1117,47
1118,33
1119,-2
1120,-28
1121,-22
1122,11
1123,41
1124,45
1125,15
1126,-19
1127,-29
1128,-7
1129,29
1130,48
1131,32
1132,-3
1133,-29
1134,-23
1135,11
1136,42
1137,43
1138,16
1139,-19
1140,-29
1141,-8
1142,29
1143,48
1144,32
1145,-4
1146,-29
1147,-23
1148,10
1149,42
1150,45
1151,15
1152,-19
1153,-30
1154,-8
1155,29
1156,47
1157,33
1158,-4
1159,-30
1160,-22
1161,11
1162,42
1163,44
1164,15
1165,-21
1166,-31
1167,-7
1168,29
1169,48
1170,32
1171,-4
1172,-30
1173,-22
1174,11
1175,42
1176,43
1177,15
1178,-20
1179,-30
1180,-7
1181,29
1182,47
1183,32
1184,-4
1185,-29
1186,-22
1187,11
1188,42
1189,44
1190,15
1191,-21
1192,-31
1193,-7
1194,30
1195,47
1196,32
1197,-6
1198,-30
1199,-22
1200,12
1201,42
1202,43
1203,15
1204,-20
1205,-30
1206,-8
1207,30
1208,47
1209,31
1210,-5
1211,-30
1212,-22
1213,11
1214,43
1215,43
1216,14
1217,-21
1218,-29
1219,-7
1220,30
1221,47
1222,31
1223,-5
1224,-29
1225,-21
1226,12
1227,42
1228,44
1229,14
1230,-19
1231,-30
1232,-7
1233,29
1234,49
1235,30
1236,-5
1237,-29
1238,-21
1239,13
1240,42
1241,43
1242,14
1243,-20
1244,-30
1245,-6
1246,30
1247,48
1248,31
1249,-5
1250,-30
1251,-21
1252,13
1253,43
1254,44
1255,14
1256,-21
1257,-31
1258,-6
1259,29
1260,47
1261,31
1262,-6
1263,-30
1264,-21
1265,12
1266,43
1267,42
1268,13
1269,-21
1270,-30
1271,-7
1272,29
1273,47
1274,30
1275,-5
1276,-30
1277,-21
1278,13
1279,42
1280,43
1281,13
1282,-21
1283,-30
1284,-6
1285,30
1286,48
1287,31
1288,-6
1289,-30
1290,-21
1291,13
1292,43
1293,43
1294,13
1295,-21
1296,-31
1297,-6
1298,30
1299,47
1300,31
1301,-6
1302,-30
1303,-21
1304,14
1305,42
1306,43
1307,13
1308,-21
1309,-29
1310,-5
1311,30
1312,48
1313,30
1314,-6
1315,-30
1316,-21
1317,13
1318,43
1319,43
1320,13
1321,-21
1322,-29
1323,-5
1324,31
1325,47
1326,31
1327,-6
1328,-31
1329,-21
1330,13
1331,43
1332,43
1333,13
1334,-22
1335,-30
1336,-6
1337,31
1338,47
1339,30
1340,-6
1341,-31
1342,-22
1343,13
1344,43
1345,43
1346,11
1347,-22
1348,-30
1349,-5
1350,31
1351,46
1352,30
1353,-6
1354,-30
1355,-21
1356,15
1357,44
1358,42
1359,12
1360,-22
1361,-29
1362,-5
1363,31
1364,47
1365,29
1366,-7
1367,-30
1368,-21
1369,14
1370,44
1371,43
1372,12
1373,-22
1374,-30
1375,-4
