idx,value
1066,-151
1067,17
1068,174
1069,251
1070,211
1071,92
1072,-86
1073,-236
1074,-307
1075,-275
1076,-153
1077,19
1078,170
1079,245
1080,213
1081,84
1082,-86
1083,-237
1084,-307
1085,-276
1086,-152
1087,17
1088,174
1089,251
1090,211
1091,85
1092,-87
1093,-236
1094,-307
1095,-276
1096,-152
1097,17
1098,175
1099,251
1100,212
1101,79
1102,-89
1103,-239
1104,-307
1105,-275
1106,-153
1107,21
1108,179
1109,259
1110,214
1111,89
1112,-88
1113,-241
1114,-308
1115,-285
1116,-157
1117,26
1118,183
1119,260
1120,230
1121,95
1122,-88
1123,-246
1124,-329
1125,-288
1126,-155
1127,30
1128,194
1129,270
1130,229
1131,98
1132,-97
1133,-253
1134,-338
1135,-303
1136,-153
1137,28
1138,198
1139,281
1140,234
1141,102
1142,-98
1143,-268
1144,-351
1145,-309
1146,-167
1147,33
1148,212
1149,289
1150,251
1151,105
1152,-99
1153,-271
1154,-358
1155,-322
1156,-167
1157,34
1158,222
1159,297
1160,268
1161,113
1162,-99
1163,-287
1164,-374
1165,-334
1166,-183
1167,36
1168,223
1169,319
1170,269
1171,115
1172,-103
1173,-289
1174,-389
1175,-350
1176,-182
1177,44
1178,237
1179,326
1180,293
1181,130
1182,-97
1183,-297
1184,-405
1185,-366
1186,-195
1187,43
1188,242
1189,348
1190,305
1191,135
1192,-98
1193,-320
1194,-425
1195,-378
1196,-196
1197,46
1198,259
1199,360
1200,314
1201,141
1202,-100
1203,-332
1204,-436
1205,-393
1206,-203
1207,47
1208,272
1209,389
1210,338
1211,153
1212,-115
1213,-341
1214,-457
1215,-409
1216,-220
1217,56
1218,287
1219,410
1220,356
1221,154
1222,-115
1223,-356
1224,-488
1225,-435
1226,-225
1227,57
1228,305
1229,428
1230,384
1231,167
1232,-125
1233,-383
1234,-512
1235,-464
1236,-239
1237,69
1238,327
1239,463
1240,412
1241,176
1242,-133
1243,-409
1244,-533
1245,-483
1246,-246
1247,73
1248,358
1249,497
1250,426
1251,196
1252,-133
1253,-434
1254,-565
1255,-506
1256,-256
1257,79
1258,374
1259,519
1260,454
1261,206
1262,-145
1263,-455
1264,-594
1265,-533
1266,-270
1267,75
1268,390
1269,555
1270,481
1271,218
1272,-143
1273,-476
1274,-623
1275,-560
1276,-286
1277,87
1278,415
1279,588
1280,507
1281,231
1282,-154
1283,-489
1284,-662
1285,-590
1286,-297
1287,94
1288,442
1289,609
1290,532
1291,241
1292,-158
1293,-524
1294,-685
1295,-615
1296,-311
1297,102
1298,469
1299,653
1300,567
1301,252
1302,-160
1303,-544
1304,-731
1305,-643
1306,-324
1307,103
1308,490
1309,675
1310,591
1311,275
1312,-170
1313,-566
1314,-764
1315,-677
1316,-348
1317,117
1318,517
1319,716
1320,627
1321,278
1322,-175
1323,-591
1324,-798
1325,-702
1326,-354
1327,114
1328,541
1329,747
1330,648
1331,297
1332,-188
1333,-623
1334,-831
1335,-740
1336,-369
1337,118
1338,558
1339,779
1340,688
1341,314
1342,-189
1343,-637
1344,-859
1345,-765
1346,-392
1347,130
1348,583
1349,814
1350,711
1351,331
1352,-190
1353,-654
1354,-890
1355,-799
1356,-402
1357,129
1358,606
1359,832
1360,752
1361,353
1362,-196
1363,-683
1364,-906
1365,-827
1366,-423
1367,123
1368,621
1369,858
1370,774
1371,368
1372,-197
1373,-700
1374,-944
1375,-845
1376,-438
1377,130
1378,648
1379,897
1380,791
1381,375
1382,-204
1383,-714
1384,-974
1385,-871
1386,-444
1387,132
1388,658
1389,919
1390,810
1391,388
1392,-203
1393,-730
1394,-990
1395,-887
1396,-450
1397,135
1398,671
1399,942
1400,838
1401,402
1402,-211
1403,-748
1404,-1019
1405,-907
1406,-472
1407,143
1408,690
1409,964
1410,857
1411,410
1412,-213
1413,-766
1414,-1045
1415,-937
1416,-479
1417,151
1418,710
1419,1000
1420,881
1421,413
1422,-216
1423,-785
1424,-1067
1425,-958
1426,-489
1427,155
1428,733
1429,1026
1430,906
1431,430
1432,-220
1433,-810
1434,-1103
1435,-981
1436,-504
1437,165
1438,758
1439,1046
1440,931
1441,440
1442,-228
1443,-828
1444,-1129
1445,-1004
1446,-516
1447,171
1448,777
1449,1081
1450,954
1451,447
1452,-229
1453,-859
1454,-1153
1455,-1027
1456,-525
1457,173
1458,800
1459,1106
1460,973
1461,464
1462,-242
1463,-876
1464,-1178
1465,-1046
1466,-528
1467,179
1468,807
1469,1126
1470,996
1471,476
1472,-240
1473,-889
1474,-1201
1475,-1068
1476,-539
1477,186
1478,820
1479,1140
1480,1015
1481,488
1482,-248
1483,-897
1484,-1219
1485,-1087
1486,-545
1487,194
1488,850
1489,1166
1490,1032
1491,491
1492,-257
1493,-910
1494,-1235
1495,-1104
1496,-554
1497,194
1498,858
1499,1189
1500,1054
1501,495
1502,-263
1503,-930
1504,-1263
1505,-1119
1506,-570
1507,194
1508,877
1509,1208
1510,1067
1511,500
1512,-265
1513,-942
1514,-1285
1515,-1134
1516,-570
1517,199
1518,890
1519,1216
1520,1078
1521,501
1522,-264
1523,-955
1524,-1290
1525,-1147
1526,-581
1527,203
1528,890
1529,1227
1530,1081
1531,507
1532,-273
1533,-970
1534,-1301
1535,-1160
1536,-576
1537,205
1538,907
1539,1252
1540,1097
1541,519
1542,-278
1543,-973
1544,-1312
1545,-1173
1546,-581
1547,207
1548,909
1549,1256
1550,1099
1551,526
1552,-274
1553,-976
1554,-1325
1555,-1179
1556,-589
1557,209
1558,912
1559,1254
1560,1100
1561,525
1562,-275
1563,-980
1564,-1324
1565,-1180
1566,-588
1567,201
1568,911
1569,1256
1570,1107
1571,524
1572,-274
1573,-976
1574,-1325
1575,-1180
1576,-588
1577,202
1578,911
1579,1255
1580,1100
1581,526
1582,-274
1583,-976
1584,-1325
1585,-1180
1586,-588
1587,202
1588,907
1589,1254
1590,1101
1591,525
1592,-273
1593,-975
1594,-1311
1595,-1173
1596,-589
1597,202
1598,906
1599,1254
1600,1101
1601,523
1602,-272
1603,-973
1604,-1303
1605,-1163
1606,-579
1607,201
1608,903
1609,1253
1610,1097
1611,519
1612,-278
1613,-968
1614,-1303
1615,-1158
1616,-578
1617,202
1618,897
1619,1239
1620,1084
1621,509
1622,-276
1623,-965
1624,-1301
1625,-1159
1626,-577
1627,201
1628,892
1629,1225
1630,1082
1631,505
1632,-269
1633,-967
1634,-1289
1635,-1147
1636,-580
1637,203
1638,888
1639,1225
1640,1078
1641,502
1642,-266
1643,-952
1644,-1286
1645,-1133
1646,-571
1647,201
1648,885
1649,1206
1650,1069
1651,498
1652,-262
1653,-944
1654,-1270
1655,-1123
1656,-568
1657,201
1658,877
1659,1206
1660,1058
1661,494
1662,-264
1663,-929
1664,-1264
1665,-1113
1666,-556
1667,197
1668,862
1669,1191
1670,1041
1671,493
1672,-266
1673,-919
1674,-1233
1675,-1100
1676,-543
1677,193
1678,855
1679,1167
1680,1032
1681,481
1682,-260
1683,-907
1684,-1223
1685,-1083
1686,-534
1687,181
1688,836
1689,1151
1690,1008
1691,475
1692,-260
1693,-897
1694,-1206
1695,-1063
1696,-528
1697,185
1698,821
1699,1128
1700,995
1701,471
1702,-248
1703,-876
1704,-1184
1705,-1043
1706,-525
1707,180
1708,806
1709,1111
1710,970
1711,447
1712,-244
1713,-864
1714,-1159
1715,-1025
1716,-522
1717,180
1718,786
1719,1090
1720,950
1721,447
1722,-236
1723,-847
1724,-1139
1725,-1006
1726,-508
1727,174
1728,775
1729,1062
1730,932
1731,437
1732,-231
1733,-825
1734,-1122
1735,-981
1736,-499
1737,165
1738,755
1739,1037
1740,914
1741,423
1742,-225
1743,-801
1744,-1093
1745,-955
1746,-489
1747,163
1748,736
1749,1009
1750,882
1751,412
1752,-221
1753,-785
1754,-1058
1755,-942
1756,-476
1757,157
1758,715
1759,979
1760,863
1761,403
1762,-213
1763,-770
1764,-1037
1765,-917
1766,-460
1767,146
1768,688
1769,959
1770,839
1771,401
1772,-211
1773,-748
1774,-1009
1775,-886
1776,-449
1777,146
1778,668
1779,917
1780,811
1781,376
1782,-205
1783,-714
1784,-975
1785,-867
1786,-437
1787,127
1788,650
1789,897
1790,788
1791,367
1792,-201
1793,-702
1794,-950
1795,-843
1796,-427
1797,129
1798,632
1799,873
1800,762
1801,354
1802,-193
1803,-684
1804,-917
1805,-808
1806,-417
1807,125
1808,606
1809,834
1810,732
1811,345
1812,-182
1813,-658
1814,-886
1815,-784
1816,-399
1817,112
1818,576
1819,805
1820,708
1821,329
1822,-173
1823,-632
1824,-848
1825,-763
1826,-396
1827,106
1828,553
1829,774
1830,692
1831,324
1832,-173
1833,-607
1834,-819
1835,-731
1836,-380
1837,99
1838,537
1839,740
1840,650
1841,314
1842,-165
1843,-577
1844,-789
1845,-703
1846,-367
1847,97
1848,509
1849,713
1850,631
1851,292
1852,-149
1853,-559
1854,-751
1855,-681
1856,-354
1857,83
1858,474
1859,670
1860,595
1861,286
1862,-146
1863,-526
1864,-727
1865,-652
1866,-350
1867,82
1868,457
1869,643
1870,579
1871,272
1872,-143
1873,-500
1874,-688
1875,-613
1876,-328
1877,63
1878,432
1879,606
1880,539
1881,257
1882,-137
1883,-481
1884,-664
1885,-588
1886,-317
1887,63
1888,399
1889,582
1890,514
1891,241
1892,-129
1893,-462
1894,-620
1895,-563
1896,-304
1897,57
1898,384
1899,546
1900,489
1901,237
1902,-124
1903,-438
1904,-598
1905,-541
1906,-298
1907,52
1908,367
1909,519
1910,468
1911,221
1912,-105
1913,-410
1914,-575
1915,-514
1916,-277
1917,49
1918,334
1919,490
1920,436
1921,209
1922,-102
1923,-390
1924,-531
1925,-495
1926,-263
1927,40
1928,316
1929,461
1930,412
1931,203
1932,-99
1933,-373
1934,-514
1935,-468
1936,-252
1937,42
1938,295
1939,440
1940,387
1941,190
1942,-99
1943,-357
1944,-494
1945,-444
1946,-241
1947,39
1948,282
1949,414
1950,367
1951,169
1952,-90
1953,-340
1954,-457
1955,-422
1956,-236
1957,28
1958,261
1959,395
1960,348
1961,169
1962,-92
1963,-325
1964,-436
1965,-412
1966,-223
1967,28
1968,248
1969,362
1970,333
1971,164
1972,-78
1973,-315
1974,-425
1975,-389
1976,-220
1977,28
1978,239
1979,350
1980,309
1981,149
1982,-84
1983,-293
1984,-413
1985,-367
1986,-205
1987,23
1988,224
1989,334
1990,295
1991,140
1992,-80
1993,-280
1994,-388
1995,-358
1996,-200
1997,16
1998,214
1999,312
2000,283
2001,135
2002,-77
2003,-271
2004,-373
2005,-344
2006,-192
2007,14
2008,204
2009,298
2010,269
2011,128
2012,-75
2013,-254
2014,-359
2015,-327
2016,-191
2017,17
2018,192
2019,283
2020,252
2021,120
2022,-73
2023,-247
2024,-345
2025,-324
2026,-181
2027,8
2028,179
2029,276
2030,251
2031,117
2032,-72
2033,-245
2034,-337
2035,-306
2036,-172
2037,6
2038,179
2039,264
2040,233
2041,114
2042,-69
2043,-234
2044,-322
2045,-299
2046,-171
2047,5
